run_id,timestamp,product_id,name,brand,category,gender,mrp,price,discount_pct,rating,rating_count,daily_units_est,monthly_units_est,net_daily_units_est,net_monthly_units_est,confidence,est_method,signal_breakdown,inv_depletion_daily,rating_vel_daily,rank_score_daily,urgency_daily,keyword,position,is_ad
20260321_161318,2026-03-21T16:13:18,34982326,Crazyly Seltos Boys Round Toe Sneakers,Crazyly,Casual Shoes,Boys,1799.0,453.0,74.8,4.291719913482666,785,47.4,1422.0,33.2,996.0,low,rank_only,"{""rank_score"": 47.4}",0.0,0.0,47.4,0.0,sneakers,13,False
20260321_161318,2026-03-21T16:13:18,35318526,max Girls Round Toe Velcro Sneaker,max,Casual Shoes,Girls,399.0,399.0,0.0,4.391396522521973,1418,42.0,1260.0,29.4,882.0,low,rank_only,"{""rank_score"": 42.0}",0.0,0.0,42.0,0.0,sneakers,14,False
20260321_161318,2026-03-21T16:13:18,36443792,Red Tape Down Town Dapper Men Colourblocked Lace-Ups Sneakers,Red Tape,Casual Shoes,Men,6499.0,1494.0,77.0,4.482783317565918,1394,37.3,1119.0,26.1,783.0,low,rank_only,"{""rank_score"": 37.3}",0.0,0.0,37.3,0.0,sneakers,15,False
20260321_161318,2026-03-21T16:13:18,39549101,Pantaloons Junior Girls Colourblocked PU Sneakers,Pantaloons Junior,Casual Shoes,Girls,999.0,999.0,0.0,4.800000190734863,10,33.1,993.0,23.2,696.0,low,rank_only,"{""rank_score"": 33.1}",0.0,0.0,33.1,0.0,sneakers,16,False
20260321_161318,2026-03-21T16:13:18,39233024,HOOH Now Comfort in Fashion Girls Elsa Textured Sneakers,HOOH Now Comfort in Fashion,Casual Shoes,Girls,1299.0,455.0,65.0,4.342696666717529,178,29.3,879.0,20.5,615.0,low,rank_only,"{""rank_score"": 29.3}",0.0,0.0,29.3,0.0,sneakers,17,False
20260321_161318,2026-03-21T16:13:18,35747352,Red Tape Men Colourblocked PU Lace-Ups Sneakers,Red Tape,Casual Shoes,Men,6299.0,1448.0,77.0,4.392228603363037,1364,26.0,780.0,18.2,546.0,low,rank_only,"{""rank_score"": 26.0}",0.0,0.0,26.0,0.0,sneakers,18,False
20260321_161318,2026-03-21T16:13:18,34980418,Crazyly Boys Velcro Colourblocked Sneakers,Crazyly,Casual Shoes,Boys,1799.0,429.0,76.2,4.470687389373779,3565,23.1,693.0,16.2,486.0,low,rank_only,"{""rank_score"": 23.1}",0.0,0.0,23.1,0.0,sneakers,19,False
20260321_161318,2026-03-21T16:13:18,26219086,Liberty Force 10 Kids Black Velcro School Shoes,Liberty,Casual Shoes,Unisex Kids,799.0,431.0,46.1,4.237854957580566,3767,20.5,615.0,14.3,429.0,low,rank_only,"{""rank_score"": 20.5}",0.0,0.0,20.5,0.0,sneakers,20,False
20260321_161318,2026-03-21T16:13:18,33276700,Red Tape Women Sneakers,Red Tape,Casual Shoes,Women,6099.0,1097.0,82.0,4.566440582275391,1031,18.1,543.0,12.7,381.0,low,rank_only,"{""rank_score"": 18.1}",0.0,0.0,18.1,0.0,sneakers,21,False
20260321_161318,2026-03-21T16:13:18,22973402,KazarMax Girls Colourblocked Shimmer Memory Foam Sneakers,KazarMax,Casual Shoes,Girls,2499.0,999.0,60.0,4.609403133392334,1106,16.1,483.0,11.3,339.0,low,rank_only,"{""rank_score"": 16.1}",0.0,0.0,16.1,0.0,sneakers,22,False
20260321_161318,2026-03-21T16:13:18,32158013,BIRDE Boys Slip-On Woven Design Flyknit Shoes,BIRDE,Casual Shoes,Boys,999.0,401.0,59.9,4.2694807052612305,616,14.3,429.0,10.0,300.0,low,rank_only,"{""rank_score"": 14.3}",0.0,0.0,14.3,0.0,sneakers,23,False
20260321_161318,2026-03-21T16:13:18,25962938,HRX by Hrithik Roshan Men White Perforations Comfort Insole Basics Sneakers,HRX by Hrithik Roshan,Casual Shoes,Men,3699.0,999.0,73.0,4.025155544281006,14947,12.7,381.0,8.9,267.0,low,rank_only,"{""rank_score"": 12.7}",0.0,0.0,12.7,0.0,sneakers,24,False
