run_id,timestamp,product_id,name,brand,category,gender,mrp,price,discount_pct,rating,rating_count,reviews_count,total_inventory,total_exact_inv,size_inventory,sizes_available,out_of_stock_sizes,is_oos,urgency_purchased,urgency_cart,urgency_wishlist,urgency_pdp,is_ad,catalog_date,position,keyword
20260321_161318,2026-03-21T16:13:18,36443792,Red Tape Down Town Dapper Men Colourblocked Lace-Ups Sneakers,Red Tape,Casual Shoes,Men,6499.0,1494.0,77.0,4.482783317565918,1394,364,218,1247,"{""6"": 485, ""7"": 107, ""8"": 329, ""9"": 321, ""10"": 5, ""11"": 0}",UK6,11,False,0,0,0,417,False,2025-08-14,15,sneakers
20260321_161318,2026-03-21T16:13:18,39549101,Pantaloons Junior Girls Colourblocked PU Sneakers,Pantaloons Junior,Casual Shoes,Girls,999.0,999.0,0.0,4.800000190734863,10,2,73,290,"{""6-6.5Y"": 43, ""6.5-7Y"": 35, ""7-8Y"": 43, ""8-9Y"": 46, ""9-10Y"": 50, ""10-11Y"": 73}",10-11Y,,False,0,0,0,0,False,2026-01-22,16,sneakers
20260321_161318,2026-03-21T16:13:18,39233024,HOOH Now Comfort in Fashion Girls Elsa Textured Sneakers,HOOH Now Comfort in Fashion,Casual Shoes,Girls,1299.0,455.0,65.0,4.342696666717529,178,31,994,13672,"{""0-3M"": 1000, ""3-6M"": 998, ""6-12M"": 994, ""12-18M"": 975, ""18-24M"": 989, ""2-2.5Y"": 982, ""2.5-3Y"": 980, ""3-3.5Y"": 983, ""3.5-4Y"": 956, ""4-4.5Y"": 0, ""4.5-5Y"": 0, ""5-5.5Y"": 0, ""5.5-6Y"": 0, ""6-6.5Y"": 965, ""6.5-7Y"": 978, ""7-8Y"": 964, ""8-9Y"": 955, ""9-10Y"": 953}",6-12M,"4-4.5Y,4.5-5Y,5-5.5Y,5.5-6Y",False,0,0,0,0,False,2026-01-01,17,sneakers
20260321_161318,2026-03-21T16:13:18,35747352,Red Tape Men Colourblocked PU Lace-Ups Sneakers,Red Tape,Casual Shoes,Men,6299.0,1448.0,77.0,4.392228603363037,1364,398,113,3113,"{""6"": 859, ""7"": 262, ""8"": 1378, ""9"": 612, ""10"": 2, ""11"": 0}",UK6,11,False,0,0,0,111,False,2025-07-10,18,sneakers
20260321_161318,2026-03-21T16:13:18,34980418,Crazyly Boys Velcro Colourblocked Sneakers,Crazyly,Casual Shoes,Boys,1799.0,429.0,76.2,4.470687389373779,3565,674,882,9941,"{""15-18M"": 0, ""18-24M"": 820, ""2-2.5Y"": 872, ""2.5-3Y"": 990, ""3-3.5Y"": 877, ""3.5-4Y"": 882, ""4-4.5Y"": 910, ""4.5-5Y"": 909, ""5-6Y"": 990, ""6-7Y"": 876, ""7-8Y"": 902, ""8-9Y"": 913}",3.5-4Y,15-18M,False,0,0,0,60,False,2025-06-12,19,sneakers
20260321_161318,2026-03-21T16:13:18,26219086,Liberty Force 10 Kids Black Velcro School Shoes,Liberty,Casual Shoes,Unisex Kids,799.0,431.0,46.1,4.237854957580566,3767,650,20,3220,"{""3-3.5Y"": 66, ""3.5-4Y"": 124, ""4.5-5.5Y"": 90, ""5-5.5Y"": 34, ""5.5-6Y"": 1, ""6.5-7Y"": 283, ""7-7.5Y"": 432, ""7.5-8Y"": 435, ""8-10Y"": 137, ""10-11Y"": 124, ""12-13Y"": 439, ""13-14Y"": 336, ""14-15Y"": 153, ""15-16Y"": 475, ""17Y"": 55, ""16-18Y"": 36}",7-7.5Y,,False,0,0,0,0,False,2023-11-30,20,sneakers
20260321_161318,2026-03-21T16:13:18,33276700,Red Tape Women Sneakers,Red Tape,Casual Shoes,Women,6099.0,1097.0,82.0,4.566440582275391,1031,269,357,7612,"{""3"": 313, ""4"": 1255, ""5"": 2436, ""6"": 2650, ""7"": 958}",UK5,,False,0,0,0,252,False,2025-03-20,21,sneakers
20260321_161318,2026-03-21T16:13:18,22973402,KazarMax Girls Colourblocked Shimmer Memory Foam Sneakers,KazarMax,Casual Shoes,Girls,2499.0,999.0,60.0,4.609403133392334,1106,143,98,816,"{""3-3.5Y"": 73, ""3.5-4Y"": 106, ""4-4.5Y"": 81, ""4.5-5Y"": 66, ""5-6Y"": 98, ""6-6.5Y"": 91, ""6.5-7Y"": 90, ""7-7.5Y"": 63, ""7.5-8Y"": 61, ""8-8.5Y"": 72, ""9-10Y"": 4, ""10-11Y"": 4, ""11-12Y"": 4, ""12-13Y"": 3}",5-6Y,,False,0,0,0,0,False,2023-04-27,22,sneakers
20260321_161318,2026-03-21T16:13:18,32158013,BIRDE Boys Slip-On Woven Design Flyknit Shoes,BIRDE,Casual Shoes,Boys,999.0,401.0,59.9,4.2694807052612305,616,122,477,3816,"{""4-4.5Y"": 488, ""4.5-5Y"": 485, ""5-5.5Y"": 477, ""7.5-8Y"": 467, ""8.5-9Y"": 487, ""9.5-10.5Y"": 479, ""10.5-11Y"": 469, ""11.5-12.5Y"": 464}",5-5.5Y,,False,0,0,0,51,False,2025-01-02,23,sneakers
20260321_161318,2026-03-21T16:13:18,25962938,HRX by Hrithik Roshan Men White Perforations Comfort Insole Basics Sneakers,HRX by Hrithik Roshan,Casual Shoes,Men,3699.0,999.0,73.0,4.025155544281006,14947,3038,51,260,"{""6"": 72, ""7"": 43, ""8"": 33, ""9"": 51, ""10"": 51, ""11"": 10}",UK10,,False,0,0,0,267,False,2023-11-16,24,sneakers
20260321_161318,2026-03-21T16:13:18,30113848,Red Tape Men Colourblocked Sneakers,Red Tape,Casual Shoes,Men,6799.0,1563.0,77.0,4.36415958404541,6953,1552,247,6690,"{""6"": 1312, ""7"": 506, ""8"": 2487, ""9"": 2214, ""10"": 171}",UK6,,False,0,0,0,221,False,2024-07-04,25,sneakers
20260321_161318,2026-03-21T16:13:18,33949583,Hopits Girls Blue Woven Design Velcro Round Toe Sneakers,Hopits,Casual Shoes,Girls,2999.0,1248.0,58.4,4.627551078796387,196,21,78,532,"{""3-3.5Y"": 78, ""3.5-4Y"": 61, ""4-4.5Y"": 46, ""4.5-5Y"": 0, ""5-6Y"": 65, ""6-6.5Y"": 73, ""6.5-7Y"": 32, ""7-7.5Y"": 71, ""7.5-8Y"": 38, ""8-8.5Y"": 68}",3-3.5Y,4.5-5Y,False,0,0,0,0,False,2025-05-01,26,sneakers
20260321_161318,2026-03-21T16:13:18,39233034,HOOH Now Comfort in Fashion Girls Frozen Textured Sneakers,HOOH Now Comfort in Fashion,Casual Shoes,Girls,1299.0,455.0,65.0,4.346368789672852,179,31,994,13677,"{""0-3M"": 998, ""3-6M"": 994, ""6-12M"": 984, ""12-18M"": 978, ""18-24M"": 977, ""2-2.5Y"": 979, ""2.5-3Y"": 975, ""3-3.5Y"": 982, ""3.5-4Y"": 967, ""4-4.5Y"": 0, ""4.5-5Y"": 0, ""5-5.5Y"": 0, ""5.5-6Y"": 0, ""6-6.5Y"": 963, ""6.5-7Y"": 982, ""7-8Y"": 968, ""8-9Y"": 967, ""9-10Y"": 963}",3-6M,"4-4.5Y,4.5-5Y,5-5.5Y,5.5-6Y",False,0,0,0,0,False,2026-01-01,27,sneakers
20260321_161318,2026-03-21T16:13:18,38265784,Shozie Girls Colourblocked Sneakers,Shozie,Casual Shoes,Girls,999.0,489.0,51.1,4.104650974273682,430,99,86,495,"{""11-12Y"": 56, ""12-13Y"": 86, ""13-14Y"": 73, ""14-15Y"": 95, ""15-16Y"": 92, ""16-17Y"": 93}",12-13Y,,False,0,0,0,0,False,2025-11-27,28,sneakers
